#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Image URL,Image Path
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,pokemon_images\Cyndaquil.png
156,Quilava,Fire,,405,58,64,58,80,65,80,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,pokemon_images\Quilava.png
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,pokemon_images\Typhlosion.png
158,Totodile,Water,,314,50,65,64,44,48,43,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,pokemon_images\Totodile.png
159,Croconaw,Water,,405,65,80,80,59,63,58,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,pokemon_images\Croconaw.png
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,pokemon_images\Feraligatr.png
161,Sentret,Normal,,215,35,46,34,35,45,20,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,pokemon_images\Sentret.png
162,Furret,Normal,,415,85,76,64,45,55,90,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,pokemon_images\Furret.png
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,pokemon_images\Hoothoot.png
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,pokemon_images\Noctowl.png
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,pokemon_images\Ledyba.png
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,pokemon_images\Ledian.png
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,pokemon_images\Spinarak.png
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,pokemon_images\Ariados.png
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,pokemon_images\Crobat.png
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,pokemon_images\Chinchou.png
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,pokemon_images\Lanturn.png
172,Pichu,Electric,,205,20,40,15,35,35,60,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,pokemon_images\Pichu.png
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,pokemon_images\Cleffa.png
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,pokemon_images\Igglybuff.png
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,pokemon_images\Togepi.png
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,pokemon_images\Togetic.png
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,pokemon_images\Natu.png
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,pokemon_images\Xatu.png
179,Mareep,Electric,,280,55,40,40,65,45,35,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,pokemon_images\Mareep.png
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,pokemon_images\Flaaffy.png
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,pokemon_images\Ampharos.png
181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False,,
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,pokemon_images\Bellossom.png
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,pokemon_images\Marill.png
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,pokemon_images\Azumarill.png
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,pokemon_images\Sudowoodo.png
186,Politoed,Water,,500,90,75,75,90,100,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,pokemon_images\Politoed.png
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,pokemon_images\Hoppip.png
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,pokemon_images\Skiploom.png
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,pokemon_images\Jumpluff.png
190,Aipom,Normal,,360,55,70,55,40,55,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,pokemon_images\Aipom.png
191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,pokemon_images\Sunkern.png
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,pokemon_images\Sunflora.png
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,pokemon_images\Yanma.png
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,pokemon_images\Wooper.png
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,pokemon_images\Quagsire.png
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,pokemon_images\Espeon.png
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,pokemon_images\Umbreon.png
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,pokemon_images\Murkrow.png
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,pokemon_images\Slowking.png
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,pokemon_images\Misdreavus.png
201,Unown,Psychic,,336,48,72,48,72,48,48,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,pokemon_images\Unown.png
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,pokemon_images\Wobbuffet.png
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,pokemon_images\Girafarig.png
204,Pineco,Bug,,290,50,65,90,35,35,15,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,pokemon_images\Pineco.png
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,pokemon_images\Forretress.png
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png,pokemon_images\Dunsparce.png
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png,pokemon_images\Gligar.png
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png,pokemon_images\Steelix.png
208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False,,
209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png,pokemon_images\Snubbull.png
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,pokemon_images\Granbull.png
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png,pokemon_images\Qwilfish.png
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png,pokemon_images\Scizor.png
212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False,,
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png,pokemon_images\Shuckle.png
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png,pokemon_images\Heracross.png
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False,,
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png,pokemon_images\Sneasel.png
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png,pokemon_images\Teddiursa.png
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png,pokemon_images\Ursaring.png
218,Slugma,Fire,,250,40,40,40,70,40,20,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png,pokemon_images\Slugma.png
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png,pokemon_images\Magcargo.png
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png,pokemon_images\Swinub.png
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png,pokemon_images\Piloswine.png
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png,pokemon_images\Corsola.png
223,Remoraid,Water,,300,35,65,35,65,35,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png,pokemon_images\Remoraid.png
224,Octillery,Water,,480,75,105,75,105,75,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png,pokemon_images\Octillery.png
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png,pokemon_images\Delibird.png
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png,pokemon_images\Mantine.png
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png,pokemon_images\Skarmory.png
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png,pokemon_images\Houndour.png
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png,pokemon_images\Houndoom.png
229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False,,
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png,pokemon_images\Kingdra.png
231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png,pokemon_images\Phanpy.png
232,Donphan,Ground,,500,90,120,120,60,60,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png,pokemon_images\Donphan.png
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png,pokemon_images\Porygon2.png
234,Stantler,Normal,,465,73,95,62,85,65,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png,pokemon_images\Stantler.png
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png,pokemon_images\Smeargle.png
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png,pokemon_images\Tyrogue.png
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png,pokemon_images\Hitmontop.png
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png,pokemon_images\Smoochum.png
239,Elekid,Electric,,360,45,63,37,65,55,95,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png,pokemon_images\Elekid.png
240,Magby,Fire,,365,45,75,37,70,55,83,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png,pokemon_images\Magby.png
241,Miltank,Normal,,490,95,80,105,40,70,100,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png,pokemon_images\Miltank.png
242,Blissey,Normal,,540,255,10,10,75,135,55,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png,pokemon_images\Blissey.png
243,Raikou,Electric,,580,90,85,75,115,100,115,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png,pokemon_images\Raikou.png
244,Entei,Fire,,580,115,115,85,90,75,100,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png,pokemon_images\Entei.png
245,Suicune,Water,,580,100,75,115,90,115,85,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png,pokemon_images\Suicune.png
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png,pokemon_images\Larvitar.png
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png,pokemon_images\Pupitar.png
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png,pokemon_images\Tyranitar.png
248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False,,
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png,pokemon_images\Lugia.png
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,pokemon_images\Ho-oh.png
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,pokemon_images\Celebi.png
252,Treecko,Grass,,310,40,45,35,65,55,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,pokemon_images\Treecko.png
253,Grovyle,Grass,,405,50,65,45,85,65,95,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,pokemon_images\Grovyle.png
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,pokemon_images\Sceptile.png
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False,,
255,Torchic,Fire,,310,45,60,40,70,50,45,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,pokemon_images\Torchic.png
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,pokemon_images\Combusken.png
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,pokemon_images\Blaziken.png
257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False,,
258,Mudkip,Water,,310,50,70,50,50,50,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,pokemon_images\Mudkip.png
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,pokemon_images\Marshtomp.png
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,pokemon_images\Swampert.png
260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False,,
261,Poochyena,Dark,,220,35,55,35,30,30,35,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,pokemon_images\Poochyena.png
262,Mightyena,Dark,,420,70,90,70,60,60,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png,pokemon_images\Mightyena.png
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png,pokemon_images\Zigzagoon.png
264,Linoone,Normal,,420,78,70,61,50,61,100,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png,pokemon_images\Linoone.png
265,Wurmple,Bug,,195,45,45,35,20,30,20,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png,pokemon_images\Wurmple.png
266,Silcoon,Bug,,205,50,35,55,25,25,15,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,pokemon_images\Silcoon.png
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,pokemon_images\Beautifly.png
268,Cascoon,Bug,,205,50,35,55,25,25,15,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,pokemon_images\Cascoon.png
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,pokemon_images\Dustox.png
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png,pokemon_images\Lotad.png
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,pokemon_images\Lombre.png
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png,pokemon_images\Ludicolo.png
273,Seedot,Grass,,220,40,40,50,30,30,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png,pokemon_images\Seedot.png
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,pokemon_images\Nuzleaf.png
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png,pokemon_images\Shiftry.png
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,pokemon_images\Taillow.png
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,pokemon_images\Swellow.png
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png,pokemon_images\Wingull.png
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png,pokemon_images\Pelipper.png
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png,pokemon_images\Ralts.png
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png,pokemon_images\Kirlia.png
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png,pokemon_images\Gardevoir.png
282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False,,
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,pokemon_images\Surskit.png
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,pokemon_images\Masquerain.png
285,Shroomish,Grass,,295,60,40,60,40,60,35,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,pokemon_images\Shroomish.png
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,pokemon_images\Breloom.png
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,pokemon_images\Slakoth.png
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,pokemon_images\Vigoroth.png
289,Slaking,Normal,,670,150,160,100,95,65,100,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,pokemon_images\Slaking.png
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,pokemon_images\Nincada.png
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,pokemon_images\Ninjask.png
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,pokemon_images\Shedinja.png
293,Whismur,Normal,,240,64,51,23,51,23,28,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,pokemon_images\Whismur.png
294,Loudred,Normal,,360,84,71,43,71,43,48,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,pokemon_images\Loudred.png
295,Exploud,Normal,,490,104,91,63,91,73,68,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,pokemon_images\Exploud.png
296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,pokemon_images\Makuhita.png
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,pokemon_images\Hariyama.png
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,pokemon_images\Azurill.png
299,Nosepass,Rock,,375,30,45,135,45,90,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,pokemon_images\Nosepass.png
300,Skitty,Normal,,260,50,45,45,35,35,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,pokemon_images\Skitty.png
301,Delcatty,Normal,,380,70,65,65,55,55,70,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,pokemon_images\Delcatty.png
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,pokemon_images\Sableye.png
302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False,,
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,pokemon_images\Mawile.png
303,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,False,,
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,pokemon_images\Aron.png
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,pokemon_images\Lairon.png
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,pokemon_images\Aggron.png
306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,False,,
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,pokemon_images\Meditite.png
