#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Image URL,Image Path,JPG Path
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,pokemon_images\Hitmonlee.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31310>
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,pokemon_images\Hitmonchan.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC313A0>
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,pokemon_images\Lickitung.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31430>
109,Koffing,Poison,,340,40,65,95,60,45,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,pokemon_images\Koffing.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC314C0>
110,Weezing,Poison,,490,65,90,120,85,70,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,pokemon_images\Weezing.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31550>
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,pokemon_images\Rhyhorn.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC315E0>
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,pokemon_images\Rhydon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31670>
113,Chansey,Normal,,450,250,5,5,35,105,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,pokemon_images\Chansey.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31700>
114,Tangela,Grass,,435,65,55,115,100,40,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,pokemon_images\Tangela.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31790>
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,pokemon_images\Kangaskhan.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31820>
115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False,,,
116,Horsea,Water,,295,30,40,70,70,25,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,pokemon_images\Horsea.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC318B0>
117,Seadra,Water,,440,55,65,95,95,45,85,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,pokemon_images\Seadra.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31940>
118,Goldeen,Water,,320,45,67,60,35,50,63,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,pokemon_images\Goldeen.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC319D0>
119,Seaking,Water,,450,80,92,65,65,80,68,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,pokemon_images\Seaking.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31A60>
120,Staryu,Water,,340,30,45,55,70,55,85,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,pokemon_images\Staryu.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31AF0>
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,pokemon_images\Starmie.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31B80>
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,,,
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,pokemon_images\Scyther.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31C10>
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,pokemon_images\Jynx.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31CA0>
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,pokemon_images\Electabuzz.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31D30>
126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,pokemon_images\Magmar.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31DC0>
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,pokemon_images\Pinsir.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31E50>
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False,,,
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,pokemon_images\Tauros.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31EE0>
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,pokemon_images\Magikarp.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC31F70>
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,pokemon_images\Gyarados.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32000>
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False,,,
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,pokemon_images\Lapras.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32090>
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,pokemon_images\Ditto.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32120>
133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,pokemon_images\Eevee.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC321B0>
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,pokemon_images\Vaporeon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32240>
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,pokemon_images\Jolteon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC322D0>
136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,pokemon_images\Flareon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32360>
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,pokemon_images\Porygon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC323F0>
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,pokemon_images\Omanyte.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32480>
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,pokemon_images\Omastar.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32510>
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,pokemon_images\Kabuto.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC325A0>
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,pokemon_images\Kabutops.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC326C0>
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,pokemon_images\Aerodactyl.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32630>
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False,,,
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,pokemon_images\Snorlax.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32720>
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,pokemon_images\Articuno.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC327B0>
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,pokemon_images\Zapdos.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32870>
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,pokemon_images\Moltres.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC328A0>
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,pokemon_images\Dratini.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32960>
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,pokemon_images\Dragonair.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32990>
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,pokemon_images\Dragonite.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32A20>
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,pokemon_images\Mewtwo.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32AB0>
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True,,,
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True,,,
151,Mew,Psychic,,600,100,100,100,100,100,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,pokemon_images\Mew.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32B40>
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,pokemon_images\Chikorita.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32C00>
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,pokemon_images\Bayleef.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32CC0>
154,Meganium,Grass,,525,80,82,100,83,100,80,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,pokemon_images\Meganium.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32CF0>
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,pokemon_images\Cyndaquil.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32D80>
156,Quilava,Fire,,405,58,64,58,80,65,80,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,pokemon_images\Quilava.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32E10>
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,pokemon_images\Typhlosion.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32EA0>
158,Totodile,Water,,314,50,65,64,44,48,43,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,pokemon_images\Totodile.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32F30>
159,Croconaw,Water,,405,65,80,80,59,63,58,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,pokemon_images\Croconaw.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC32FC0>
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,pokemon_images\Feraligatr.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33050>
161,Sentret,Normal,,215,35,46,34,35,45,20,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,pokemon_images\Sentret.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC330E0>
162,Furret,Normal,,415,85,76,64,45,55,90,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,pokemon_images\Furret.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33170>
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,pokemon_images\Hoothoot.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33200>
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,pokemon_images\Noctowl.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33290>
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,pokemon_images\Ledyba.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33320>
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,pokemon_images\Ledian.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC333B0>
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,pokemon_images\Spinarak.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33440>
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,pokemon_images\Ariados.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC334D0>
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,pokemon_images\Crobat.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33560>
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,pokemon_images\Chinchou.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC335F0>
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,pokemon_images\Lanturn.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33680>
172,Pichu,Electric,,205,20,40,15,35,35,60,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,pokemon_images\Pichu.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33710>
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,pokemon_images\Cleffa.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC337A0>
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,pokemon_images\Igglybuff.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33830>
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,pokemon_images\Togepi.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC338C0>
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,pokemon_images\Togetic.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33950>
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,pokemon_images\Natu.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC339E0>
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,pokemon_images\Xatu.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33A70>
179,Mareep,Electric,,280,55,40,40,65,45,35,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,pokemon_images\Mareep.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33B00>
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,pokemon_images\Flaaffy.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33B90>
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,pokemon_images\Ampharos.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33C20>
181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False,,,
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,pokemon_images\Bellossom.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33CB0>
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,pokemon_images\Marill.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33D40>
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,pokemon_images\Azumarill.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33DD0>
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,pokemon_images\Sudowoodo.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33E60>
186,Politoed,Water,,500,90,75,75,90,100,70,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,pokemon_images\Politoed.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC33EF0>
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,pokemon_images\Hoppip.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861CC0DFA0>
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,pokemon_images\Skiploom.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C080>
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,pokemon_images\Jumpluff.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C0E0>
190,Aipom,Normal,,360,55,70,55,40,55,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,pokemon_images\Aipom.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C170>
191,Sunkern,Grass,,180,30,30,30,30,30,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,pokemon_images\Sunkern.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C200>
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,pokemon_images\Sunflora.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C290>
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,pokemon_images\Yanma.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C320>
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,pokemon_images\Wooper.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C3B0>
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,pokemon_images\Quagsire.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C440>
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,pokemon_images\Espeon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C4D0>
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,pokemon_images\Umbreon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C560>
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,pokemon_images\Murkrow.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C5F0>
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,pokemon_images\Slowking.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C680>
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,pokemon_images\Misdreavus.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C710>
201,Unown,Psychic,,336,48,72,48,72,48,48,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,pokemon_images\Unown.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C7A0>
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,pokemon_images\Wobbuffet.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C830>
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,pokemon_images\Girafarig.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C8C0>
204,Pineco,Bug,,290,50,65,90,35,35,15,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,pokemon_images\Pineco.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C950>
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,pokemon_images\Forretress.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8C9E0>
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png,pokemon_images\Dunsparce.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CA70>
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png,pokemon_images\Gligar.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CB00>
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png,pokemon_images\Steelix.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CB90>
208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False,,,
209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png,pokemon_images\Snubbull.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC8CC20>
